n,o,o1,o2,o3
1,0.00000268,0.00000329,0.00000109,0.00000111
10,0.00006549,0.00006083,0.00005826,0.00003465
20,0.00023833,0.00028699,0.00022545,0.00010249
30,0.00056483,0.00102725,0.00052127,0.00017839
40,0.00116069,0.00109948,0.00116058,0.0003229
50,0.00145853,0.00142476,0.00145337,0.00063832
60,0.0022079,0.00215716,0.00209027,0.00071378
70,0.00286752,0.0028902,0.00368809,0.00239315
80,0.00412327,0.00413942,0.0040331,0.00135617
90,0.00520604,0.00535202,0.00525558,0.0028817
100,0.00658086,0.00948174,0.00617145,0.00725731
200,0.0257802,0.0261524,0.0265722,0.0117103
300,0.0673394,0.0554862,0.0561192,0.031229
400,0.107383,0.096998,0.0950886,0.0644577
500,0.171726,0.17107,0.155334,0.0801682
600,0.216271,0.227944,0.218037,0.0991234
700,0.411447,0.303338,0.310642,0.195757
800,0.475242,0.513403,0.487119,0.235258
900,0.596348,0.599267,0.607813,0.548422
1000,0.711323,0.749649,0.705159,0.453959
2000,3.53859,2.93065,2.82695,3.44954
3000,9.53152,8.01887,7.62752,5.77708
4000,16.0006,16.3967,15.0833,10.1686
5000,21.0912,20.6069,22.2829,18.8998
10000,81.1431,80.3522,115.763,78.6619
