n,o,o1
2,0.0000033,0.0000032
4,0.0000072,0.0000061
8,0.0000088,0.0000088
16,0.0000239,0.0000244
32,0.0000384,0.0000386
64,0.0000684,0.0000837
128,0.0001239,0.0001239
256,0.0002315,0.0002307
512,0.0004436,0.0005995
1024,0.0008733,0.0016051
2048,0.0017926,0.0025116
4096,0.0038565,0.0038272
8192,0.007591,0.0071548
16384,0.0152188,0.0147123
32768,0.0307525,0.0288901
65536,0.0595819,0.0605544
